market,screen,gross_edge,cost%,net_edge,hit%,net_viable
Europe,price_vol_breakout,1.125,0.4,0.725,42.2,no
Europe,rsi_oversold,0.5413,0.4,0.141,59.5,YES
Europe,golden_crossover,0.2094,0.4,-0.191,53.5,no
Europe,near_52w_high,-0.1069,0.4,-0.507,54.3,no
Europe,darvas_proximity,-0.3345,0.4,-0.734,52.0,no
India,price_vol_breakout,0.8888,0.3,0.589,47.4,no
India,golden_crossover,0.3315,0.3,0.032,46.8,no
India,near_52w_high,0.2793,0.3,-0.021,44.5,no
India,rsi_oversold,0.2187,0.3,-0.081,49.7,no
India,darvas_proximity,-0.4991,0.3,-0.799,45.0,no
Japan,rsi_oversold,0.5565,0.2,0.356,55.9,YES
Japan,golden_crossover,0.0772,0.2,-0.123,51.1,no
Japan,near_52w_high,-0.3109,0.2,-0.511,48.9,no
Japan,price_vol_breakout,-0.6003,0.2,-0.8,44.2,no
Japan,darvas_proximity,-1.1929,0.2,-1.393,44.0,no
Korea,rsi_oversold,0.2442,0.25,-0.006,48.2,no
Korea,golden_crossover,-0.1256,0.25,-0.376,43.2,no
Korea,price_vol_breakout,-0.6101,0.25,-0.86,40.4,no
Korea,near_52w_high,-1.1262,0.25,-1.376,37.8,no
Korea,darvas_proximity,-1.8216,0.25,-2.072,37.2,no
US,rsi_oversold,0.4593,0.1,0.359,53.6,YES
US,golden_crossover,0.0325,0.1,-0.068,50.2,no
US,price_vol_breakout,-0.3178,0.1,-0.418,47.2,no
US,near_52w_high,-0.6588,0.1,-0.759,47.9,no
US,darvas_proximity,-1.373,0.1,-1.473,46.6,no
